,p_grid,simulated_readings,t_grid,correction_factor
627,1027.5,0.116859472,287,0.945313498
628,1027.5,0.117702789,289,0.952135357
629,1027.5,0.118532283,291,0.9588454
630,1027.5,0.119347914,293,0.965443298
631,1027.5,0.120149706,295,0.97192925
632,1027.5,0.120937634,297,0.978303044
633,1027.5,0.121711824,299,0.984565719
634,1027.5,0.122472162,301,0.990716337
635,1027.5,0.1232187,303,0.996755314
636,1027.5,0.123951557,305,1.002683631
637,1027.5,0.124670676,307,1.008500816
638,1027.5,0.12537609,309,1.014207136
639,1027.5,0.126067857,311,1.019803056
640,1030,0.110202438,273,0.891462627
641,1030,0.111140808,275,0.899053402
642,1030,0.112065516,277,0.90653366
643,1030,0.112976532,279,0.913903159
644,1030,0.113873769,281,0.921161192
645,1030,0.114757285,283,0.92830824
646,1030,0.115627076,285,0.935344252
647,1030,0.116483033,287,0.942268363
648,1030,0.11732521,289,0.949080999
649,1030,0.118153546,291,0.955781672
650,1030,0.118968082,293,0.962370712
651,1030,0.11976888,295,0.968848621
652,1030,0.120555836,297,0.975214564
653,1030,0.121329065,299,0.981469456
654,1030,0.122088545,301,0.987613131
655,1030,0.122834272,303,0.993645555
656,1030,0.123566311,305,0.99956725
657,1030,0.12428469,307,1.005378451
658,1030,0.124989422,309,1.011079252
659,1030,0.125680542,311,1.01666994
660,1032.5,0.109837234,273,0.888508379
661,1032.5,0.110774015,275,0.896086292
662,1032.5,0.111697188,277,0.90355414
663,1032.5,0.112606743,279,0.910911815
664,1032.5,0.113502646,281,0.918159064
665,1032.5,0.114384834,283,0.925295358
666,1032.5,0.115253287,285,0.932320553
667,1032.5,0.116108044,287,0.939234955
668,1032.5,0.116948987,289,0.94603761
669,1032.5,0.11777625,291,0.952729602
670,1032.5,0.118589704,293,0.959309891
671,1032.5,0.119389418,295,0.965779036
672,1032.5,0.120175438,297,0.972137402
673,1032.5,0.120947728,299,0.978384703
674,1032.5,0.121706293,301,0.984520976
675,1032.5,0.122451198,303,0.990546752
676,1032.5,0.123182502,305,0.996462501
677,1032.5,0.123900115,307,1.002267501
678,1032.5,0.124604171,309,1.007962835
679,1032.5,0.125294583,311,1.0135478
680,1035,0.109473406,273,0.885565258
681,1035,0.110408655,275,0.893130783
682,1035,0.111330315,277,0.900586385
683,1035,0.112238423,279,0.907932355
684,1035,0.113132921,281,0.915168236
685,1035,0.114013746,283,0.922293509
686,1035,0.114880937,285,0.929308495
687,1035,0.115734426,287,0.936212643
688,1035,0.116574223,289,0.943006026
689,1035,0.117400343,291,0.949688773
690,1035,0.118212702,293,0.956260208
691,1035,0.119011394,295,0.96272108
692,1035,0.119796409,297,0.969071317
693,1035,0.120567759,299,0.975311015
694,1035,0.121325469,301,0.981440369
695,1035,0.12206951,303,0.987459156
696,1035,0.122799991,305,0.993368243
697,1035,0.123516885,307,0.999167431
698,1035,0.124220252,309,1.00485719
699,1035,0.124910067,311,1.010437325
700,1037.5,0.109110976,273,0.88263344
701,1037.5,0.110044643,275,0.890186177
702,1037.5,0.110964822,277,0.897629791
703,1037.5,0.111871479,279,0.904964031
704,1037.5,0.11276458,281,0.91218861
705,1037.5,0.113644054,283,0.919302954
706,1037.5,0.114509928,285,0.926307284
707,1037.5,0.115362197,287,0.933201558
708,1037.5,0.11620081,289,0.939985368
709,1037.5,0.117025765,291,0.946658693
710,1037.5,0.117837061,293,0.953221525
711,1037.5,0.118634735,295,0.959674163
